Importers,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024,Unnamed: 6
World,115316393,138993508.0,127763882.0,99435701.0,102187144.0,
United States of America,42271765,48791314.0,45016760.0,34520349.0,32417814.0,
"Hong Kong, China",9353176,13162166.0,10657589.0,9288497.0,10582094.0,
Netherlands,11094615,12068665.0,12120224.0,8882639.0,8847401.0,
Germany,6856776,9654616.0,8793152.0,6124388.0,6290437.0,
Japan,8264586,7066235.0,6550950.0,5253938.0,5833082.0,
India,3342988,5517548.0,5384812.0,4475587.0,5194233.0,
United Kingdom,4860038,5486105.0,4635931.0,3577785.0,3895678.0,
Australia,2925263,3010872.0,3244975.0,2593287.0,2569576.0,
