Importers,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024,Unnamed: 6
World,177780115.0,215788464.0,194302381.0,163889746.0,176347449.0,
United States of America,51636353.0,60789833.0,54530352.0,46287585.0,49969257.0,
Germany,13654158.0,17804635.0,14668630.0,11430685.0,12619159.0,
Japan,11359563.0,9919508.0,8956962.0,7486439.0,8802159.0,
United Kingdom,9118776.0,9591621.0,6163396.0,7119650.0,7692247.0,
"Hong Kong, China",6496813.0,8347013.0,6994720.0,5442785.0,6454867.0,
India,4523829.0,7353545.0,6894061.0,5392242.0,5863291.0,
Netherlands,6819220.0,6995731.0,6136762.0,4192287.0,5793894.0,
United Arab Emirates,4074236.0,5085855.0,5914620.0,6106355.0,5308656.0,
