Importers	2020-Imported quantity	2020-Unit	2021-Imported quantity	2021-Unit	2022-Imported quantity	2022-Unit	2023-Imported quantity	2023-Unit	2024-Imported quantity	2024-Unit	
"Ghana"			1340	Tons	1146	Tons	797	Tons	No Quantity	No Quantity	
"Iran, Islamic Republic of"	3415	Tons	3710	Tons	3395	Tons	4177	Tons	No Quantity	No Quantity	
"Iraq"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Jamaica"	231	Tons	240	Tons	397	Tons	269	Tons	No Quantity	No Quantity	
"Lao People's Democratic Republic"	539	Tons	250	Tons	397	Tons	450	Tons	No Quantity	No Quantity	
"Lebanon"	130	Tons	178	Tons	176	Tons	152	Tons	No Quantity	No Quantity	
"Jordan"	42	Tons	39	Tons	54	Tons	46	Tons	No Quantity	No Quantity	
"Liberia"	5	Tons	40	Tons	94	Tons	39	Tons	No Quantity	No Quantity	
"Libya, State of"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Mali"	45	Tons	120	Tons	106	Tons	26	Tons	No Quantity	No Quantity	
"Bonaire, Sint Eustatius and Saba"	No Quantity	No Quantity	0	Tons	0	Tons	0	Tons	No Quantity	No Quantity	
"New Caledonia"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Vanuatu"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Nepal"	90903	Units	235882	Units	186485	Units	No Quantity	No Quantity	No Quantity	No Quantity	
"Curaçao"	0	Mixed	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Aruba"	12	Tons	13	Tons	16	Tons	18	Tons	No Quantity	No Quantity	
"Djibouti"			0	Tons	289	Tons	110	Tons	No Quantity	No Quantity	
"Gabon"	13	Tons	18	Tons	12	Tons	69	Tons	No Quantity	No Quantity	
"Falkland Islands (Malvinas)"	1	Tons	28	Tons	4	Tons	11	Tons			
"Dominica"	7	Tons	7	Tons	5	Tons	6	Tons	No Quantity	No Quantity	
"Equatorial Guinea"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"Ethiopia"	183	Tons	102	Tons	184	Tons	261	Tons	No Quantity	No Quantity	
"Cuba"	121	Tons	77	Tons	50	Tons	No Quantity	No Quantity	No Quantity	No Quantity	
"Congo"	17	Tons	7	Tons	17	Tons	27	Tons	No Quantity	No Quantity	
"Congo, Democratic Republic of the"	71	Tons	69	Tons	114	Tons	198	Tons	No Quantity	No Quantity	
"Solomon Islands"	13	Units	14	Units	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
"British Virgin Islands"	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	No Quantity	
